Song Name,Singer Name,Song Audio,Type,Improved_Type,Mood_Tag,Final_Type
Suno Ganpati Bappa Morya,Amit Mishra ,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/5a5c34cd-c30e-470b-be12-6e696d232978.mp3,Other,Other,Neutral,Other
Deva Shree Ganesha,Ajay Gogavale,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/8a60b0f0-8b45-4603-86aa-48e8ec1dba1c.mp3,Other,Other,Neutral,Other
Babuji Zara Dheere Chalo,Sukhwinder Singh and Sonu Kakkar,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/0d748cdc-e954-4da1-a28e-1d2fa380c8a4.mp3,Other,Other,Neutral,Other
MERI DUNIYA TU HI RE,SONU NIGAM | SHAAN,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/72ff6210-1f4b-4598-b36f-fa2980af836b.mp3,Other,Other,Neutral,Other
Teri Bhabhi, Javed-Mohsin,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/b468ca28-7ab3-4b60-8684-e5576af28745.mp3,Other,Other,Neutral,Other
Aashiq Surrender Hua,Amaal Mallik | Shreya Ghoshal,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/d1503721-12c6-46da-9764-f78b381eb587.mp3,Other,Other,Neutral,Other
Dus Bahane 2.0,Shaan & Tulsi Kumar,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/b2fce242-33c0-4cb0-8879-c8eae5d9c8e1.mp3,Other,Other,Neutral,Other
MASHOOKA,Dev Negi | Asees Kaur,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/2f533026-91d2-482a-8f45-9def29a221cc.mp3,Other,Other,Neutral,Other
Saajanji Ghar Aaye,Kumar Sanu | Alka Yagnik and Kavita Krishnamurthy,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/bfd0990c-1537-4f00-abab-cd43c957f82b.mp3,Other,Other,Neutral,Other
Kaun Nachdi,Guru Randhawa | Neeti Mohan,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/73a739e9-16e3-4cfc-a0c6-2a925953f886.mp3,Other,Other,Neutral,Other
MummyKassam,Ikka & Monali Thakur,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/da61e317-103c-4758-9a08-b8087482bb67.mp3,Other,Other,Neutral,Other
Nai Jaana,"Tulsi Kumar, Sachet Tandon",https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/af88707b-fc95-4c96-940c-5546041cfa52.mp3,Other,Romantic,Romantic,Romantic
Aashiq Banaya Aapne,"Himesh Reshammiya, Neha Kakkar",https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/a1ace338-5df1-4b8e-94cd-cfc9deb71fb7.mp3,Other,Other,Neutral,Other
India Waale,"NEETI MOHAN | VISHAL DADLANI, K.K. |  SHANKAR MAHADEVAN",https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/d77c53df-001e-4508-9008-0f8644e19bd2.mp3,Other,Other,Neutral,Other
Ankhiyon Se Goli Mare, Mika Singh | Tulsi Kumar,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/1bb2327a-c6db-44ee-806d-24de5b9425d2.mp3,Other,Other,Neutral,Other
Garmi,Badshah | Neha K,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/09c509ec-e280-42b1-b05d-72ae42d4eed4.mp3,Other,Other,Neutral,Other
Nikamma,Dev Negi | Payal Dev | Deane Sequeira,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/e70f5694-15ad-4e51-9403-aafa0aa5bd92.mp3,Other,Other,Neutral,Other
Channe Ke Khet Mein,Poornima,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/f4107205-eb74-4e2b-af51-534cda2f50da.mp3,Other,Other,Neutral,Other
Jaikal Mahakal,Amit Trivedi & Suhas Sawant,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/59f3fd6d-096b-48a1-92e6-5eaa48591895.mp3,Other,Other,Neutral,Other
Ghoonghat Mein Chand Hoga,Kumar Sanu | Kavita Krishnamurthy,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/6e2740b5-390f-40d8-aa0b-732e73b24ae3.mp3,Other,Other,Neutral,Other
LOL,Payal Dev | Dev Negi,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/82e0723d-f523-4f4c-90f8-37f7ca2a1e38.mp3,Other,Other,Neutral,Other
Mehendi,Dhvani Bhanushali,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/da54d243-37f9-44ca-9736-ced53a94374c.mp3,Other,Other,Neutral,Other
BamBholle,Viruss,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/d3e75e56-c0ec-4587-99d8-56e92cef6168.mp3,Other,Other,Neutral,Other
Mera Wala Dance,Nakash Aziz-Neha Kakkar,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/bfaa35db-d029-430b-afef-c9d7faf2bb97.mp3,Party,Party,Energetic,Party
Tumhi Ho Bandhu,Pritam,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/25586003-6159-431a-9743-897bb6adb9e5.mp3,Sad,Sad,Sad,Sad
Dhating Naach,Nakash Aziz & Neha Kakkar,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/df6e8a25-f5b6-4421-9038-db906325a0b6.mp3,Other,Other,Neutral,Other
Sanedo, Mika | Nikhita | Benny,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/1dfd5715-850d-4f20-a926-15d98c34b088.mp3,Other,Other,Neutral,Other
World Dance Medley,"NEETI MOHAN |  VISHAL DADLANI | SUKHWINDER SINGH, K.K. | SHANKAR MAHADEVAN",https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/df70137e-f856-4eb8-915f-7319188760c7.mp3,Party,Party,Energetic,Party
Vande Mataram,"NEETI MOHAN |  VISHAL DADLANI | SUKHWINDER SINGH, K.K. | SHANKAR MAHADEVAN",https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/8ddf24e1-9e68-48d7-8ed6-9bc9ab29c1d9.mp3,Other,Other,Neutral,Other
Bhare Bazaar,Vishal Dadlani | Payal Dev | Badshah | B Praak,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/5c096f72-4f6f-4d20-8915-37b8db012ca3.mp3,Other,Other,Neutral,Other
GOLMAAL Title Track,Brijesh Shandilya & Aditi Singh Sharma ,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/2f35f9fe-ec75-43f0-b370-218967f14017.mp3,Other,Other,Neutral,Other
