Sno, songs,singer,lyrics,genri,album
68,Haan Tu Hain,Pritam|KK|Sayeed Quadri,"jo khwabo khyalo me socha nahi tha
tune mujhe itna pyar diya
mai jab bhi jaha bhi kadi dhup me tha
teri julf ne mujhpe saya kiya
haan jo khwabo khyalo me socha nahi tha
tune mujhe itna pyar diya
mai jab bhi jaha bhi kadi dhup me tha
teri julf ne mujhpe saya kiya

haan tu hai haan tu hai
meri bato me tu hai
mere khwabo me tu yado me tu
irado me tu hai

haan tu hai haan tu hai
meri bato me tu hai
mere khwabo me tu yado me tu
irado me tu hai
irado me tu hai
irado me tu hai
koi bhi aisa lamha nahi hai
jisme mere tu hota nahi hai
mai so bhi jau rato me lekin
tu hai ki mujhme sota nahi hai
tu hai ki mujhme sota nahi hai


haan tu hai haan tu hai
meri bato me tu hai
mere khwabo me tu yado me tu
irado me tu hai

haan tu hai haan tu hai
meri bato me tu hai
mere khwabo me tu yado me tu
irado me tu hai
irado me tu hai

hai teri inayat tujhse mili hai
hotho pe mere hasi jo khili hai
use mera chehra chupa bhi na paye
tujhe pake hasil hui jo khushi hai
tujhe pake hasil hui jo khushi


haan tu hai haan tu hai
meri bato me tu hai
mere khwabo me tu yado me tu
irado me tu hai

jo khwabo khyalo me socha nahi tha
tune mujhe itna pyar diya
mai jab bhi jaha bhi kadi dhup me tha
teri julf ne mujhpe saya kiya

haan tu hai haan tu hai
meri bato me tu hai
mere khwabo me tu yado me tu
irado me tu hai

haan tu hai haan tu hai
meri bato me tu hai
mere khwabo me tu yado me tu
irado me tu hai
irado me tu hai",,
69,Maahi,Toshi & Sharib Sabri | Mohit Suri,"Yaara teri kahani mein

Ho zikar mera

Kahin teri khamoshi mein

Ho fikar mera

Rukh tera jidhar ka ho

Ho udhar mera

Teri baahon talak hi hai

Yeh safar mera

O maahi oh maahi oh maahi oh maahi

O maahi oh maahi oh maahi oh maahi
Meri wafa pe haq hua tera

Oh maahi maahi ve

O maahi oh maahi oh maahi oh maahi

O maahi oh maahi oh maahi oh maahi

Lo main qayamat tak hua tera

Lo main qayamat tak hua tera

Baaton ko behne do

Baahon mein rehne do

Hai sukoon inme

Raste woh begaane

Jhoothe woh afsaane

Tu na ho jinme

Ho thodi umar hai pyar jyada mera

Kaise pata yeh sara tera hoga

Maine mujhe hai tujhko saunpana

Aanhon pe baahon pe raahon panahon pe

Aanhon pe baahon pe saahon salaahon pe

Mere ishq pe haq hua tera

O maahi maahi ve

Oh maahi oh maahi oh maahi oh maahi

Oh maahi oh maahi oh maahi oh maahi

Lo main qayamat tak hua tera

Oh maahi maahi ve

O maahi o maahi o maahi o maahi

O maahi o maahi o maahi o maahi

Meri wafa pe haq hua tera

Lo main kayamat tak hua tera",,
70,Tera Mera Rishta Purana,Mustafa Zahid,"Tera yakin kyon maine kiya

Nahi tujhse raah kyon juda

Mujh pe yeh zindagi karti

Rahi sitam tune hi di hai

panah

Tera mera rishta puraana

Tera mera rishta puraana

Tera mera rishta puraana

Hai kya tadap hai hai yeh

kaisi saza
Tu kyun mujhe aaj yaad aa gaya

Bechain din mere bechain

raat hai

Kya main karu kuchh bata

Yeh mere paanv hi khud

meri bediyaan

Uss se tu mujhe chhooda

Tera mera rishta purana

Tera mera rishta purana

Tera mera rishta purana

Tera mera rishta purana

Kya mujh mein hai

Shaks woh keh raha

Aa aab main du karz tera

chuka

Aankhen hai nam meri

Saasein chubhan meri

Zakham huwa pir

Haara dil ke viraane mein

Mere phasane mein

Tu hi toh har dum raha

Tera mera rishta purana

Tera mera rishta purana

Tera mera rishta purana

Tera mera rishta purana

Oh tera mera rishta purana

Oh tera mera rishta purana",,
71,Aadat (Juda Hoke Bhi),Atif Aslam | Kunal Khemu | Kalyug | Sayeed Q,"Juda Hoke Bhi Tu Mujhmein Kahi Baaki Hai

Palkon Mein Banke Aansu Tu Chali Aati Hai

Saath Mere Hain Tu Har Pal Shab Ke Andhere Mein

Paas Mere Hain Tu Hardam Ujale Savere Mein

Dil Se Dhadkan Bhula Dena Aasan Nahi Hai

Ab Toh Aadat Si Hai Mujhko Aaise Jeene Mein

Juda Hoke Bhi Tu Mujhmein Kahi Baaki Hai

Palkon Mein Banke Aansu Tu Chali Aati Hai

Ae he he he he.......oh o o o o

aa aa aa aa.....oh ho o o o o

Yeh Jo Yaade Hain, Yeh Jo Yaade Hain

Sabhi Kaate Hain, Kata Do Inhe

Mita Do Inhe....

Ho Ab Toh Aadat Si Hai Mujhko

Aise Jeene Mein",,
72,Jiya Dhadak Dhadak Jaye,Rahat Fateh Ali Khan | Emraan Hashmi | Kunal Khemu | Smilie S,Tujhe Dekh Dekh Sona... (x2) Tujhe Dekh Kar Hain Jagna Maine Yeh Zindagani Sang Tere Bitaani Tujhmein Basi Hain Meri Jaan Haai (Jiya Dhadak Dhadak... (x3) Jaayen)... (x2) Tujhe Dekh Dekh Sona Tujhe Dekh Kar Hain Jagna Maine Yeh Zindagani Sang Tere Bitaani Tujhmein Basi Hain Meri Jaan Haai Jiya Dhadak Dhadak... (x3) Jaayen Kabse Hai Dil Mein Mere Armaan Kai Ankahe... (x2) Inko Tu Sunle Aaja Chaahat Ke Rang Chadha Jaa... (x2) Kehna Kabhi To Mera Maan Haai (Jiya Dhadak Dhadak... (x3) Jaayen)... (x2) Lagta Hain Yeh Kyu Mujhe Sadiyon Se Chaahu Tujhe... (x2) Mere Sapno Mein Aake Apna Mujhko Banake... (x2) Mujhpe Tu Kar Ehsaan Haai (Jiya Dhadak Dhadak... (x3) Jaayen)... (x2) Tujhe Dekh Dekh Sona Tujhe Dekh Kar Hain Jagna Maine Yeh Zindagani Sang Tere Hain Bitani Haai (Jiya Dhadak Dhadak... (x3) Jaayen)... (x2) Dhadak Jaaye Jiya Dhadak Jaaye Jaaye Jiya Dhadak Dhadak Jiya Dhadak Dhadak Dhadak Dhadak Dhadak Jaaye (Jiya Dhadak Dhadak... (x3) Jaaye)... (x4) ',,
73,Afreen Afreen,Rahat Fateh Ali Khan & Momina Mustehsan,"Sa Ni Dha Ga Ni Ni Ni Dha

Dha Ni Sa Ga Ma Ga Sa

Sa Ni Dha Ga Ni Ni Ni Dha

Dha Ni Dha Ga Ma Ma

Sa Ga Ma Ga Dha Dha Ma Dha Ni

Dha Ni Dha Ni Dha Ni Dha

Ni Dha Pa, Pa Dha Ma

Ma Pa Ga

Ga Re Ga Ma Ga

Pa Ma Ga Re

Afreen Afreen Afreeeen

Afreen Afreen Afreeeen

Afreen Afreen Afreeeen

Afreen Afreen Afreeeen

Husn-E-Janaa Kee Tareef Mumkin Nahi

Afreen Afreen Afreeeen Afreeen

Tu Bhee Dekhe Agar To Kahe Hamnsheeen

Afreen Afreen Afreeeen

Afreen Afreen Afreeeen

Afreen Afreen Afreeeen

Afreen Afreen Afreeeen

Aisaa Dekhaa Nahi Khubsoorat Koi

Jism Jaise Hai Ajanta Kee Moorat Koi

Jism Jaise Nigahon Pe Jaadu Koi

Jism Naghma Koi Jism Khushboo Koi

Jism Jaise Machalte Hoye Ragnee

Jism Jaise Mehaktee Hoayee Chandni

Jism Jaise Ke Khilta Hoyaa Ek Chaman

Jism Jaise Ke Sooraj Ki Pehli Kiran

Jism Tersha Hoya Dikashoo Dilnasheen

Sandaleeeen Sandaleen Marmareeeeen Marmareeeeen

Sandaleeeen Sandaleen Marmareeeeen Marmareeeeen

Afreen Afreen Afreen Afreen

Afreen Afreen Afreen Afreen

Husne Janaaa Kee Tareef Mumkin Nahi

Afreen Afreen Afreen Afreen

Tu Bhee Dekhe Agar To Kahe Hamnsheeen

Afreen Afreen Afreen Afreen

Usne Janaaa Kee Tareef Mumkin Nahi

Usne Janaaa Kee Tareef Mumkin Nahi

Afreen Afreen Afreen Afreen

Afreen Afreen Afreen Afreen

Afreen Afreen Afreen Afreen

Afreen Afreen Afreen Afreen

Ankheen Dekheen To Main Dekhtaa Rah Giyaa

Jaam Dooo Ore Doonoon Hee Doo Ateshaaaa

Ankheen Yaa Makadeee Kaee Doo Baab Hain

Ankheen Inn Ko Kahoon Yaa Kahoon Khawab Hain

Ankheen Neechee Hoyee To Haya Baan Gayeen

Ankheen Oonchee Hoyee To Dua Baan Gayeen

Ankheen Uth Kar Jhukeen Too Ada Baan Gayeen

Ankheen Jhuk Kar Utheen To Qadaa Baan Gayeen

Ankheen Jin Main Hain Kaid Asmaan O Zameeeeen

Nargasee Nargaseee Surmayee Surmayeee

Nargasee Nargaseee Surmayee Surmayeee

Afreen Afreen Afreen Afreen

Afreen Afreen Afreen Afreen

Afreen Afreen Afreen Afreen

Afreen Afreen Afreen Afreen",,
74,Teri Deewani,Kailash Kher,"Ho Main Vi Teri Deewani Aa

Ve Sun Dhol Sipahiyaa

Tu Ess College Vich Padhda Ae

Taahi Taan Main Aayi Aan

Tohr Kyun Enni Kad Ke Aaye

Tohr Kyun Enni Kad Ke Aaye

Ki Milda Suli Tangan Layi

Main Tainu Dil Vi Has Ke De Dangi

Je Tu Aap Aavega Mangan Layi

Main Tainu Dil Vi Has Ke De Dangi
Je Tu Aap Aavega Mangan Layi

Kado Tak Bhejda Rahenga

Tu Sanehe Mainu Chori Chori

Kade Jere Naal Rok Mainu

Puch Mera Haal Puch Mallo Jori

Oh Kado Tak Bhejda Rahenga

Tu Sanehe Mainu Chori Chori

Kade Jere Naal Rok Mainu

Puch Mera Haal Puch Mallo Jori

Mera Vekh Le Ishaara

Main Ta Kari Baithi Haan

Vekh Le Ishaara

Main Ta Kri Baithi Haan

Ki Lod Payi Aa Sangan Di

Main Tainu Dil Vi Has Ke De Dangi

Je Tu Aap Aavega Mangan Layi

Main Tainu Dil Vi Has Ke De Dangi

Je Tu Aap Aavega Mangan Layi

Mundeya Ch Charche Daleri Teri De

Mere Kolo Kyun Renne Darda

Kar Purpose Mainu Apni Bna Le Jatta

Dasde Tu Kinna Mette Marda

Mundeya Ch Charche Daleri Tere De

Mere Kolo Kyun Renne Darda

Kar Purpose Mainu Apni Bna Le Jatta

Dasde Tu Kinna Mette Marda

Shere Dhaliwal Fayda Ki Ae Jatt Hon Da

Dhaliwal Fayda Ki Ae Jatt Hon Da

Je Tainu Lod Pendi Jhutha Khangan Di

Main Tainu Dil Vi Has Ke De Dangi

Je Tu Aap Aavega Mangan Layi

Main Tainu Dil Vi Has Ke De Dangi

Je Tu Aap Aavega Mangan Layi",,
75,Saiyyan,Kailash Kher,"Heere-moti main na chaahun
Main toh chaahun sangam tera
Main toh teri, saiyyan
Tu hai mera, saiyyan, saiyyan
Tu jo chchoo le pyar se, aaram se mar jaaun
Aaja chanda bahon mein
Tujh mein hi gum ho jaaun main
Tere naam mein kho jaaun
Saiyyan, saiyyan
Mere dil khushi se jhoome, gaayein raatein
Pal-pal mujhe dubaayein jaate-jaate
Tujhe jeet, jeet haarun, yeh praan, praan varun
Haye, aise main nihaarun, teri aarti utaarun
Tere naam se jude hai saare naate
Saiyyan (Saiyyan), saiyyan (Saiyyan)
Banke maala prem ki tere tan pe jhar-jhar jaaun
Baithun naiyaa preet ki
Sansaar se tar jaaun main
Tere pyaar se tar jaaun
Saiyyan (Saiyyan), saiyyan (Saiyyan)
Yeh naram-naram nasha hai badhta jaaye
Koi pyar se ghungatiya deta uthaaye
Ab baanwra huaa mann, jag ho gya hai roshan
Yeh nayi-nayi suhaagan ho gyi hai teri jogan
Koi prem ki pujaran mandir sajaye
Saiyyan (Saiyyan), saiyyan (Saiyyan)
Saiyyan, saiyyan (Saiyyan)
Heere moti main na chaahun
Main toh chaahun sangam tera
(Saiyyan) Main na jaanu, tu hi jaane
Main toh teri, tu hai mera
(Saiyyan) Main na jaanu, tu hi jaane
Main toh teri, tu hai mera
Main toh teri, tu hai mera",,
76,O Re Piya,"Rahat Fateh Ali Khan | Salim-Sulaiman, Jaideep","O re piya haye (x3)

Udne laga kyon man baawla re

Aaya kahan se yeh hosla re

O re piya haye (x2)

Tanabana tanabana bunti hawaa haaye bunti hawa

Boondein bhi to aaye nahi baaz yahan

Sagish mein shaamil sara jahan hai

Har zare zare ki yeh iltiza hai

O re Piya

O re Piya haye (x2)

O re Piya

ni re ,re re ga

ga ga ma

ma ma pa

pa ma ga re sa

sa re re sa

ga ga re

ma ma ga

pa pa ma

dha dha pa

ni ni sa sa pa

pa sa ma pa dha ni sa ni

re ni sa sa sa.. . . . ..

Nazrein bolen duniya bole

dil ki zaban haaye dil ki zubaan

Ishq maange ishq chahe koi toofan

Chalna aahiste ishq naya hai

Pehla yeh vada humne kiya hai

O re piya haaye (x2)

O re piya

Piyaaaaa....

yehhh piya

Nange pairo pe angaro

chalti rahi haaye chalti rahi

.l.y.r.i.c.s.m.a.s.t.i...c.o.m..

Lagta hai ke gairo mein

Palti rahi haaye

le chal wahan jo

Mulk tera hai

Jahil zamana

dushman mera hai

haaye

O re piya haye (x5)",,
77,Chand Sifarish,"Shaan, Kailash Kher","Subhaan Allaah Subhaan Allah Subhaan Allah Subhaan Allah... (x2)

Chaand Sifarish Jo Karta Hamari Deta Woh Tumko Bata

Sharm-O-Haya Pe Parde Gira Ke Karni Hain Hamko Khata

Zidd Hain Ab Toh Hain Khud Ko Mitana Hona Hain Tujhmein Fanaa

Chaand Sifarish Jo Karta Hamari Deta Woh Tumko Bata

Sharm-O-Haya Pe Parde Gira Ke Karni Hain Hamko Khata

Teri Adaa Bhi Hain Jhonke Wali Chhu Ke Gujar Jaane De

Teri Lachak Hain Ke Jaise Daali Dil Mein Utar Jaane De

Aaja Baahon Mein Karke Bahana Hona Hain Tujhmein Fanaa

Chaand Sifarish Jo Karta Hamari Deta Woh Tumko Bata
Sharm-O-Haya Pe Parde Gira Ke Karni Hain Hamko Khata

Subhaan Allaah Subhaan Allaah Subhaan Allah Subhaan Allah... (2)

Hain Jo Iraaden Bata Doon Tumko Sharma Hi Jaaogi Tum

Dhadakanen Jo Suna Doon Tumko Ghabraa Hi Jaaogi Tum

Hamko Aata Nahi Hain Chhupana Hona Hain Tujhmein Fanaa

Chaand Sifarish Jo Karta Hamari Deta Woh Tumko Bata

Sharm-O-Haya Pe Parde Gira Ke Karni Hain Hamko Khata

Zidd Hain Ab Toh Hain Khud Ko Mitana Hona Hain Tujhmein Fanaa",,
78,Tujh Mein Rab Dikhta Hai,Roop Kumar,"Tu hi toh jannat meri, Tu hi mera junoon Tu hi to mannat meri, Tu hi rooh ka sukoon Tu hi aakhion ki thandak, tu hi dil ki hai dastak Aur kuch na janu mein, bas itna hi jaanu Tujh mein rab dikhta hai Yaara mein kya karu Tujh mein rab dikhta hai Yaara mein kya karu Sajdhe sar jukhta hai Yaara mein kya karu Tujh mein rab dikhta hai Yaara mein kya karu Ohhhh hoooo ohh hellip;. Kaisi hai yeh doori, kaisi majboori Meine nazron se tujhe choo liya Oh ho ho Kabhi teri khusboo Kabhi teri baatein Bin mange yeh jahan pa liya Tu hi dil ki hai raunak, Tu hi janmo ki daulat Aur kuch na janoo Bas itna hi janoo Tujh mein rab dikhta hai Yaara mein kya karu Tujh mein rab dikhta hai Yaara mein kya karu Sajdhe sar jukhta hai Yaara mein kya karuo Tujh mein rab dikhta hai Yaara mein kya karuo Vasdi vasdi vasdi, dil di dil vich vasdi Nasdi nasdi nasdi, dil ro ve te nasdi Rab Ne hellip; Bana Di Jodi hellip;..haiiiiii Vasdi vasdi vasdi, dil di dil vich vasdi Nasdi nasdi nasdi, dil ro ve te nasdi Cham cham aaye, mujhe tarsaye Tera saaya ched ke chumta Oh ho ho hellip; tu jo muskaye Tu jo sharmaye Jaise mera hai khuda jhumta Tu hi meri hai barkat, tu hi meri ibadat Aur kuch na janu, bas itna hi janu Tujh mein rab dikhta hai Yaara mein kya karu Tujh mein rab dikhta hai Yaara mein kya karu Sajdhe sar jukhta hai Yaara mein kya karu Tujh mein rab dikhta hai Yaara mein kya karu Vasdi vasdi vasdi, dil di dil vich vasdi Nasdi nasdi nasdi, dil ro ve te nasdi Rab Ne Bana Di Jodi.. haiiiiii",,
79,Haule Haule,Sukhwinder Singh,"Haule Haule... (x4) Haule Haule Se Hawa Lagti Hai Haule Haule Se Dawa Lagti Hai Haule Haule Se Dua Lagti Hai, Haaan Haaye, Haule Haule Chanda Badhta Hai Haule Haule Ghonghat Uth Ta Hai Haule Haule Se Nasha Chadhta Hai, Haan Tu Sabar To Kar Mere Yaar, Zara Saans To Le Dildaar Chal Fikar Nu Goli Maar Yaar Hai Din Jindai De Chaar ( Haule Haule Ho Jayega Pyaar Chal Yaar Haule Haule Ho Jayega Pyaar )... (x2) Haule Haule, Haule Haule Haule Haule, Haule Haule Haule Haule Ho Jayega Pyaar Chal Yaar Haule Haule Ho Jayega Pyaar Pa Ni De , De Ga Pa Ma Ga Re... (x2) Pa Ni Ga , Ga Ma Ga Ma Ga Re Pa Da Pa Ni Da Ma Pa Da Ma Ga Re Risthon Ki Galiyaan Tang Hai Sharmo Sharmliee Band Hai Khud Se Khud Ki Yeh Kaise Jung Hai Pal Pal Yeh Dil Ghabraye Pal Pal Yeh Dil Sharmaye Kuch Kehta Hai Aur Kuch Kar Jaaye Kaise Yeh Peheli.. Muh Dil Mar Jana.. Ishq Mein Jaldi Bada Jurmaana Tu Sabar To Kar Mere Yaar, Zara Saans To Le Dildaar Chal Fikar Nu Goli Maar Yaar Hai Din Jindai De Chaar ( Haule Haule Ho Jayega Pyaar Chal Yaar Haule Haule Ho Jayega Pyaar )... (x2) Haule Haule, Haule Haule Haule Haule, Haule Haule Haaye Haule Haule Ho Jayega Pyaar Chal Yaar Haule Haule Ho Jayega Pyaar Rab Da Hi Tab Koi Hona, Karein Koi Yun Jaadu Tona Maan Jaaye Maan Jaaye Haye Mera Sona.. Rab De Saare Chalde, Na Hai Kinare Chal De Koi Hai Na Kahare Chal De Kya Kheh Ke Gaya Tha Shayar Woh Shayana.. Aag Ka Dariya Doob Ke Jana Tu Sabar To Kar Mere Yaar, Zara Saans To Le Dildaar Chal Fikar Nu Goli Maar Yaar Hai Din Jindai De Chaar ( Haule Haule Ho Jayega Pyaar Chal Yaar Haule Haule Ho Jayega Pyaar )... (x2) Haule Haule , Haule Haule Haule Haule , Haule Haule Haaye Haule Haule Ho Jayega Pyaar Chal Yaar Haule Haule Ho Jayega Pyaar Haule Haule Se Dua Lagti Hai, Haaa",,
80,Aankhein Khuli,"Lata Mangeshkar, Udit Narayan","Aankhein khuli ho ya ho band

Deedar unka hota hai

Kaise kahoon main o yaara

Yeh pyaar kaise hota hai

Hey aankhein khuli ho ya ho band

Deedar unka hota hai

Aankhein khuli ho ya ho band

Deedar unka hota hai

Kaise kahoon main o yaara

Yeh pyaar kaise hota hai
Aankhein khuli ho ya ho band

Deedar unka hota hai

Kaise kahoon main o yaara

Yeh pyaar kaise hota hai

Aaj hi yaaron kisi pe mar ke dekhenge hum

Pyaar hota hai yeh kaise karke dekhenge hum

Kisi ki yaadon mein khoye hue

Khwaabon ko humne saja liya

Kisi ki baahon mein soye hue

Apna use bana liya

Aye yaar pyaar mein koi

Aye yaar pyaar mein koi

Na jaagta na sota hai

Kaise kahoon main o yaara

Yeh pyaar kaise hota hai

Kya hai yeh jaadu hai koi bas jo chal jata hai

Tod ke pehre hazaaron dil nikal jata hai

Door kahin aasmanon par

Hote hain yeh saare faisle

Kaun jaane koi humsafar

Kab kaise kahan mile

Jo naam dil pe ho likha

Jo naam dil pe ho likha

Ikraar usi se hota hai

Kaise kahoon main o yaara

Yeh pyaar kaise hota hai

Aankhein khuli ho ya ho band

Deedar unka hota hai

Aankhein khuli ho ya ho band

Deedar unka hota hai

Kaise kahoon main o yaara

Yeh pyaar kaise hota hai",,
81,Ladki Kyon,"Alka Yagnik, Shaan | Jatin-Lalit","(Ladki Kyon Na Jane Kyon Ladkon Si Nahin Hoti Sochti Hai Zyada, Kam Wo Samajhti Hai )...(x2) Dil Kuch Kahta Hai, Kuchh Aur Hi Karti Hai Ladki Kyon Na Jaane Kyon Ladkon Si Nahin Hoti...(x2) Sochti Hai Zyada...Kuch Aur Hi Karti Hai Ladki Kyon Na Jaane Kyon Ladkon Si Nahin Hoti...(x2) Pyar Use Bhi Hai Magar Shuruat Tumhi Se Chahe Khud Mein Uljhi Uljhi Hai Par Baloon Ko Suljhaye I Mean We Are All The Same Yaar Ham Achchhe Dost Hai Magar Us Nazar Se Tumko Dekha Nahin Wo Sab To Theek Hai Par Is Baare Mein Maine Socha Nahin Sabse Alag Ho Ye Kahke Paas Tumhare Aaye Aur Kuchh Din Mein Tum Mein Alag Sa Kuchh Bhi Na Usko Bhaye Uf Ye Kaisi Shirt Pehante Ho Ye Kaise Baal Katate Ho, Gaadi Tez Chalate Ho Tum Jaldi Mein Kyon Khate Ho, Give Me A Break! Tumhein Badalne Ko Paas Vo Aati Hai Tumhein Mitane Ko Jaal Bichati Hai Baaton Baaton Mein Tumhein Phasati Hai Pehle Hasati Hai Phir Bada Rulati Hai Ladki Kyon Na Jaane Kyon Ladkon Si Nahin Hoti...(x2) Itnaa Hi Khud Se Khush Ho To, Peeche Kyon Aate Ho Phool Kabhi To Hazaar Tohfe Aakhir Kyon Laate Ho Apna Naam Nahin Bataya Aapne Coffee Peene Chaleingi Aap Main Aapko Ghar Chhod Doon, Phir Kab Mileingi Bikhra Bikhra Bematlab Sa, Toota Phoota Jeena Aur Kahte Ho Alag Se Hain Hum Taan Ke Apna Seena Bheega Toliya Kahin Farsh Pe Toothpaste Ka Dhakkan Kahin Kal Ke Mauze Ulat Ke Pahne, Waqt Ka Kuch Bhi Hosh Nahin Jeene Ka Tumko Dhang Sikhlate Hain Tumhein Jaanvar Se Insan Banate Hain Uske Bina Ek Pal Rah Na Sakoge Tum Usko Pata Hai Ye Kah Na Sakoge Tum Isliye Ladkiyan Ladkon Si Nahin Hoti...(x2) Jaane Koun Koun Se Din Wo Tumko Yaad Dilaye Pyar Ko Chahe Bhool Bhi Jaaye, Tarikhe Na Bhulaye First March Ko Nazar Milayee, Char April Ko Main Milne Aayee Ikkis May Ko Tumne Chhua Tha, Chah June Mujhe Kuch Hua Tha Ladkon Ka Kya Hai Kisi Bhi Mod Pe Vo Mud Jayein Abhi Kisi Ke Hain, Abhi Kisi Aur Se Vo Jud Jayein Tumhare Mummy Daddy Ghar Par Nahin Hain, Great! Main Aa Jaon Tumhari Friend Akeli Ghar Ja Rahi Hai, Bechari! Main Chhod Aaoon Ek Haan Kahne Ko Kitna Tahlaati Hai Thak Jaate Hain Hum Wo Jee Bahlati Hai Wo Sarmati Hai Kabhi Chupati Hai Ladki Jo Haan Kah De Use Nibhati HaiB Isliye Ladakiyan Ladkon Si Nahin Hoti...(x2)",,
82,Aal Izz Well,"Sonu N, Swanand K & Shaan | Shantanu M","All is well all is well
Angels and men rejoice
For tonight darkness fell
Into the dawn of love's light
Sing A-le
Sing Alleluia
All is well all is well
Let there be peace on earth
Christ is come go and tell
That He is in the manger
Sing A-le
Sing Alleluia

All is well all is well
Lift up your voices and sing
Born is now Emmanuel
Born is our Lord and Savior
Sing Alleluia
Sing Alleluia
All is well",,
83,Give Me Some Sunshine,Shantanu Moitra,"Saari umar hum
Mar mar ke jee liye
Ek pal to ab humein jeene do
Jeene do

Saari umar hum
Mar mar ke jee liye
Ek pal to ab humein jeene do
Jeene do


Na na na….Na na na….Na
na na….Na na nana na….


Give me some sunshine
Give me some rain
Give me another chance
I wanna grow up once again

Give me some sunshine
Give me some rain
Give me another chance
I wanna grow up once again


Bachpan to gaya
Jawani bhi gayi
Ek pal to ab humein
Jeene do jeene do

Bachpan to gaya
Jawani bhi gayi
Ek pal to ab humein

Jeene do jeene do


Saari umar hum
Mar mar ke jee liye
Ek pal to ab humein jeene do
Jeene do


Na na na….Na na na….Na
na na….Na na nana na….


Give me some sunshine
Give me some rain
Give me another chance
I wanna grow up once again

Give me some sunshine
Give me some rain
Give me another chance
I wanna grow up once again


Na na na….Na na na….Na
na na….Na na nana na….
Na na na….Na na na….Na
na na….Na na nana na…",,
84,Behti Hawa Sa Tha Woh,Shantanu Moitra,"Behti Hawa Sa Tha Woh
Udti Patang Sa Tha Woh
Kahan Gaya Usse Dhoondo
Humko Toh Raahein Thi Chalati
Woh Khud Apni Raah Banata
Girta Sambhalta Masti Mein Chalta Tha Woh
Humko Kal Ki Fikar Sataati
Woh Bas Aaj Ka Jashn Manaata
Har Lamhe Ko Khulke Jeeta Tha Woh
Kahan Se Aaya Tha Woh
Chhooke Hamare Dil Ko Kahan Gaya Usse Doondo
Sulagti Dhoop Mein Chhaaon Ke Jaisa
Registaan Mein Gaaon Ke Jaisa
Mann Ke Ghaav Me Marham Jaisa Tha Woh
Hum Sahme Se Rehte Kuwein Mein
Woh Nadiya Mein Gote Lagata
Ulti Dhara Cheerke Tairta Tha Woh
Baadal Awara Tha Woh
Yaar Hamara Tha Woh
Kahan Gaya Usse Dhoondo",,
85,Woh Din,Pritam,"Yaadon ke purane album mein

Chhupa ke rakhe hain humne woh din

Hmm.. gullak mein padi chavanni si

Bacha ke rakhe hain humne woh din

Na kisi manzil ki fikar thi

Zindagi jeene ki umar thi

Dosti aur doston se udhar ke din the

Woh din bhi kya din the, woo…

Hmm… woh din bhi kya din the, woo… (x2)

Kar na mana the kaam jo
Humne kiya har kaam woh

Jinki nahi thi permission

Saare kiye intezam woh

Bedhab harkataon ke

Bhoot sar pe sawar ke din the

Haq karne ke yaaron

Aar ya phir paar ke din the

Woh din bhi kya din the

Woh din bhi kya din the, woo…

Hmm… woh din bhi kya din the, woo… (x2)",,
86,Naach Meri Jaan,Pritam,"e nach meri jan fata fat fat nach meri jan fata fat fat

bat meri man fata fat fat bat meri man fata fat

ye zamana ye tarana naya fata fat

ye zamana ye tarana naya fata fat

nach meri jan fata fat fat bat meri man fata fat fat

dekho dekho dekho dekho naye dance ka namuna

dekho dekho dekho dekho naye dance ka namuna

kabhi main tumhe chhuunga kabhi tum mujhe chhuna

kabhi main tumhe chhuunga kabhi tum mujhe chhuna

mujhe chhu mujhe chhu mujhe chhu mujhe chhu
mujhe chhu mujhe chhu mujhe chhu

naya tal nayi tan fata fat fat

nach meri jan fata fat fat bat meri man fata fat fat

nach meri jan fata fat

ye zamana ye tarana naya fata fat

ye zamana ye tarana naya fata fat

thandi thandi thandi thandi is ret ka bichona

thandi thandi thandi thandi is ret ka bichona

khelen pyar wala khel leke dil ka khilona

khelen pyar wala khel leke dil ka khilona

i love you i love you i love you

i love you i love you i love you i love you ha

dekhe sara ye jahan fata fatfat

nach meri jan ay fata fat fat bat meri man oy fata fat fat

nach meri jan ae fata fat

ye zamana ye tarana naya fata fat

ye zamana ye tarana naya fata fat

teri meri jodi pyari tu hai shola main chingari

teri meri jodi pyari tu hai shola main chingari

tere rup ka main mara mere pyar ki tu mari

tere rup ka main mara mere pyar ki tu mari

mera tu meri tu mera tu meri tu

mera tu mera tu mera tu aa

main hun teer tu kaman fata fat fat

nach meri jan fata fat fat bat meri man fata fat fat

ae nach meri jan fata fat

ye zamana ye tarana naya fata fat

ye zamana ye tarana naya fata fat",,
